Filesystem     Type      Size  Used Avail Use% Mounted on
/dev/nvme0n1p4 xfs        59G  5.5G   53G  10% /
devtmpfs       devtmpfs  7.6G     0  7.6G   0% /dev
tmpfs          tmpfs     7.6G     0  7.6G   0% /dev/shm
efivarfs       efivarfs  128K  3.8K  120K   4% /sys/firmware/efi/efivars
tmpfs          tmpfs     3.1G  2.9M  3.1G   1% /run
tmpfs          tmpfs     1.0M     0  1.0M   0% /run/credentials/systemd-journald.service
/dev/nvme0n1p3 xfs       936M  498M  439M  54% /boot
/dev/nvme0n1p2 vfat      200M   13M  187M   7% /boot/efi
tmpfs          tmpfs     1.6G  4.0K  1.6G   1% /run/user/1000
tmpfs          tmpfs     1.0M     0  1.0M   0% /run/credentials/serial-getty@ttyS0.service
tmpfs          tmpfs     1.0M     0  1.0M   0% /run/credentials/getty@tty1.service
tmpfs          tmpfs     1.6G  4.0K  1.6G   1% /run/user/0
shm            tmpfs      64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/6bc3717669af7d86dcfe5c4a11ef742ed8c10f99955ffbda033d3098e9c21d72/shm
overlay        overlay    59G  5.5G   53G  10% /run/containerd/io.containerd.runtime.v2.task/k8s.io/6bc3717669af7d86dcfe5c4a11ef742ed8c10f99955ffbda033d3098e9c21d72/rootfs
overlay        overlay    59G  5.5G   53G  10% /run/containerd/io.containerd.runtime.v2.task/k8s.io/a79fb77d5c074cc9c096d564544f834986adc5b7e2feee56209f12a2ce1b86eb/rootfs
tmpfs          tmpfs      15G   12K   15G   1% /var/lib/kubelet/pods/8c0aec06-4b58-4a30-81d7-727d643d46ed/volumes/kubernetes.io~projected/kube-api-access-zntz6
tmpfs          tmpfs      15G   12K   15G   1% /var/lib/kubelet/pods/c14f98b0-ee4b-4a07-947d-40563afc847a/volumes/kubernetes.io~projected/kube-api-access-lkczt
shm            tmpfs      64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/129daf208df7e570a88e38a3ec87b5bd4877b24f8c64dd3d75cab0def3115cc0/shm
overlay        overlay    59G  5.5G   53G  10% /run/containerd/io.containerd.runtime.v2.task/k8s.io/129daf208df7e570a88e38a3ec87b5bd4877b24f8c64dd3d75cab0def3115cc0/rootfs
shm            tmpfs      64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/f66b9f06dde7b8188790d1783eeb7e3723d91b75647cffdfa5975a397458575f/shm
overlay        overlay    59G  5.5G   53G  10% /run/containerd/io.containerd.runtime.v2.task/k8s.io/f66b9f06dde7b8188790d1783eeb7e3723d91b75647cffdfa5975a397458575f/rootfs
overlay        overlay    59G  5.5G   53G  10% /run/containerd/io.containerd.runtime.v2.task/k8s.io/e383cd0ff226ea4bea88d42c240db6ddb86359ed92d3042114c31bf3a279e83a/rootfs
